Date,Star
2024.11.17,5
2024.11.13,5
2024.11.10,5
2024.11.10,5
2024.11.10,5
2024.11.10,5
2024.11.10,5
2024.11.08,5
2022.11.09,4
2021.11.07,5
2024.11.06,5
2024.11.06,5
2024.11.04,5
2024.11.04,5
2024.11.04,5
2024.10.22,5
2024.11.03,5
2024.11.03,5
2024.11.01,5
2024.10.31,5
2024.10.28,5
2024.10.26,5
2024.10.26,5
2024.10.24,5
2024.10.22,5
2024.10.19,5
2024.10.18,5
2024.10.17,5
2024.10.16,5
2024.10.12,5
2024.10.11,5
2024.10.05,5
2024.10.05,5
2024.10.04,5
2024.10.01,5
2024.10.01,5
2024.09.29,5
2024.09.26,4
2024.09.25,5
2024.09.25,5
2024.09.25,5
2024.09.24,5
2024.09.23,5
2024.09.22,5
2024.09.21,5
2024.09.20,4
2024.09.19,5
2024.09.19,5
2024.09.18,5
2024.09.16,5
2024.09.15,5
2024.09.15,5
2024.09.13,5
2024.09.08,5
2024.08.14,4
2024.09.04,5
2024.09.03,5
2024.09.03,5
2024.09.02,5
2024.09.02,5
2024.09.02,5
2024.09.01,5
2024.08.27,4
2024.08.25,5
2024.08.25,5
2024.08.24,5
2024.08.23,5
2023.09.09,5
2024.08.21,5
2023.05.12,5
2024.08.20,5
2023.01.07,1
2022.10.26,5
2022.06.29,5
2022.06.15,5
2024.08.19,5
2022.05.29,5
2022.05.10,2
2022.04.23,5
2022.04.02,5
2022.03.02,5
2022.03.11,5
2022.01.27,5
2021.11.04,5
2021.11.08,5
2024.08.17,5
2024.08.15,5
2024.08.11,5
2024.08.03,5
2024.08.03,5
2024.08.01,5
2024.07.31,5
2024.07.29,5
2024.07.29,5
2024.07.28,5
2024.07.27,5
2024.07.22,5
2024.07.21,5
2024.07.19,5
2024.07.15,5
2024.07.15,5
2024.07.09,5
2024.07.07,5
2024.07.04,5
2024.07.04,5
2024.07.03,5
2024.07.02,5
2024.06.30,5
2024.06.29,5
2024.06.29,5
2024.06.27,5
2024.06.26,5
2024.06.26,5
2024.06.25,5
2024.06.24,5
2024.06.24,5
2024.06.22,5
2024.06.21,5
2024.06.13,5
2024.06.12,5
2024.06.12,5
2024.06.10,5
2024.06.09,5
2024.06.09,5
2024.06.07,5
2024.06.05,5
2024.06.05,5
2024.06.02,5
2024.06.01,5
2024.05.28,5
2024.05.28,5
2024.05.28,5
2024.05.28,5
2024.05.26,5
2024.05.25,5
2024.05.23,5
2024.05.22,5
2024.05.21,5
2024.05.19,5
2024.05.19,5
2024.05.17,4
2024.05.15,5
2024.05.15,5
2024.05.14,5
2024.05.14,5
2024.05.14,5
2024.05.12,5
2024.05.12,5
2024.05.12,5
2024.05.11,5
2024.05.11,5
2024.05.10,4
2024.05.04,5
